region,profession,year,workforce_supply
Vancouver Coastal,Other Practitioners,2035,2177.1
Vancouver Island,General Practitioners,2035,1880.07
Vancouver Island,Medical Specialists,2035,1261.55
Vancouver Island,Other Practitioners,2035,2181.44
Fraser,General Practitioners,2036,2611.78
Fraser,Medical Specialists,2036,1827.84
Fraser,Other Practitioners,2036,3199.72
Interior,General Practitioners,2036,1980.45
Interior,Medical Specialists,2036,1189.56
Interior,Other Practitioners,2036,2239.79
Northern,General Practitioners,2036,408.9
Northern,Medical Specialists,2036,190.37
Northern,Other Practitioners,2036,260.08
Vancouver Coastal,General Practitioners,2036,1605.7
Vancouver Coastal,Medical Specialists,2036,2130.48
Vancouver Coastal,Other Practitioners,2036,2153.7
Vancouver Island,General Practitioners,2036,1906.04
Vancouver Island,Medical Specialists,2036,1278.98
Vancouver Island,Other Practitioners,2036,2211.58
Fraser,General Practitioners,2037,2686.45
Fraser,Medical Specialists,2037,1880.1
Fraser,Other Practitioners,2037,3291.2
Interior,General Practitioners,2037,2029.86
Interior,Medical Specialists,2037,1219.23
Interior,Other Practitioners,2037,2295.67
Northern,General Practitioners,2037,411.86
Northern,Medical Specialists,2037,191.75
Northern,Other Practitioners,2037,261.97
Vancouver Coastal,General Practitioners,2037,1587.62
Vancouver Coastal,Medical Specialists,2037,2106.5
Vancouver Coastal,Other Practitioners,2037,2129.46
Vancouver Island,General Practitioners,2037,1930.9
Vancouver Island,Medical Specialists,2037,1295.66
Vancouver Island,Other Practitioners,2037,2240.42
Fraser,General Practitioners,2038,2762.57
Fraser,Medical Specialists,2038,1933.37
Fraser,Other Practitioners,2038,3384.46
Interior,General Practitioners,2038,2079.9
Interior,Medical Specialists,2038,1249.29
Interior,Other Practitioners,2038,2352.26
Northern,General Practitioners,2038,414.43
Northern,Medical Specialists,2038,192.95
Northern,Other Practitioners,2038,263.6
Vancouver Coastal,General Practitioners,2038,1565.75
Vancouver Coastal,Medical Specialists,2038,2077.48
Vancouver Coastal,Other Practitioners,2038,2100.12
Vancouver Island,General Practitioners,2038,1956.06
Vancouver Island,Medical Specialists,2038,1312.55
Vancouver Island,Other Practitioners,2038,2269.62
Fraser,General Practitioners,2039,2839.56
Fraser,Medical Specialists,2039,1987.26
Fraser,Other Practitioners,2039,3478.79
Interior,General Practitioners,2039,2130.03
Interior,Medical Specialists,2039,1279.4
Interior,Other Practitioners,2039,2408.97
Northern,General Practitioners,2039,416.86
Northern,Medical Specialists,2039,194.08
Northern,Other Practitioners,2039,265.15
Vancouver Coastal,General Practitioners,2039,1544.22
Vancouver Coastal,Medical Specialists,2039,2048.91
Vancouver Coastal,Other Practitioners,2039,2071.24
Vancouver Island,General Practitioners,2039,1979.31
Vancouver Island,Medical Specialists,2039,1328.15
Vancouver Island,Other Practitioners,2039,2296.59
Fraser,General Practitioners,2040,2918.6
Fraser,Medical Specialists,2040,2042.57
Fraser,Other Practitioners,2040,3575.62
Interior,General Practitioners,2040,2179.51
Interior,Medical Specialists,2040,1309.12
Interior,Other Practitioners,2040,2464.92
Northern,General Practitioners,2040,418.84
Northern,Medical Specialists,2040,195.0
Northern,Other Practitioners,2040,266.41
Vancouver Coastal,General Practitioners,2040,1520.52
Vancouver Coastal,Medical Specialists,2040,2017.47
Vancouver Coastal,Other Practitioners,2040,2039.46
Vancouver Island,General Practitioners,2040,2002.96
Vancouver Island,Medical Specialists,2040,1344.02
Vancouver Island,Other Practitioners,2040,2324.03
Fraser,General Practitioners,2041,2999.64
Fraser,Medical Specialists,2041,2099.29
Fraser,Other Practitioners,2041,3674.91
Interior,General Practitioners,2041,2228.26
Interior,Medical Specialists,2041,1338.4
Interior,Other Practitioners,2041,2520.06
Northern,General Practitioners,2041,420.52
Northern,Medical Specialists,2041,195.78
Northern,Other Practitioners,2041,267.48
Vancouver Coastal,General Practitioners,2041,1495.33
Vancouver Coastal,Medical Specialists,2041,1984.05
Vancouver Coastal,Other Practitioners,2041,2005.67
Vancouver Island,General Practitioners,2041,2025.66
Vancouver Island,Medical Specialists,2041,1359.25
Vancouver Island,Other Practitioners,2041,2350.37
Fraser,General Practitioners,2042,3081.61
Fraser,Medical Specialists,2042,2156.65
Fraser,Other Practitioners,2042,3775.32
Interior,General Practitioners,2042,2276.58
Interior,Medical Specialists,2042,1367.42
Interior,Other Practitioners,2042,2574.7
Northern,General Practitioners,2042,421.96
Northern,Medical Specialists,2042,196.45
