year,region,profession,workforce_supply,population,demand_indicator
2027,Fraser,Other Practitioners,2484.56,162360.0,
2027,Interior,General Practitioners,1541.84,182484.0,
2027,Interior,Medical Specialists,926.1,182484.0,
2027,Interior,Other Practitioners,1743.74,182484.0,
2027,Northern,General Practitioners,369.07,130170.0,
2027,Northern,Medical Specialists,171.83,130170.0,
2027,Northern,Other Practitioners,234.75,130170.0,
2027,Vancouver Coastal,General Practitioners,1701.5,70796.0,
2027,Vancouver Coastal,Medical Specialists,2257.59,70796.0,
2027,Vancouver Coastal,Other Practitioners,2282.19,70796.0,
2027,Vancouver Island,General Practitioners,1655.29,150506.0,
2027,Vancouver Island,Medical Specialists,1110.72,150506.0,
2027,Vancouver Island,Other Practitioners,1920.62,150506.0,
2028,Fraser,General Practitioners,2084.93,166916.0,
2028,Fraser,Medical Specialists,1459.13,166916.0,
2028,Fraser,Other Practitioners,2554.28,166916.0,
2028,Interior,General Practitioners,1589.0,188066.0,
2028,Interior,Medical Specialists,954.43,188066.0,
2028,Interior,Other Practitioners,1797.08,188066.0,
2028,Northern,General Practitioners,374.51,132090.0,
2028,Northern,Medical Specialists,174.36,132090.0,
2028,Northern,Other Practitioners,238.21,132090.0,
2028,Vancouver Coastal,General Practitioners,1698.9,70688.0,
2028,Vancouver Coastal,Medical Specialists,2254.14,70688.0,
2028,Vancouver Coastal,Other Practitioners,2278.71,70688.0,
2028,Vancouver Island,General Practitioners,1684.34,153148.0,
2028,Vancouver Island,Medical Specialists,1130.22,153148.0,
2028,Vancouver Island,Other Practitioners,1954.34,153148.0,
2029,Fraser,General Practitioners,2144.34,171672.0,
2029,Fraser,Medical Specialists,1500.71,171672.0,
2029,Fraser,Other Practitioners,2627.06,171672.0,
2029,Interior,General Practitioners,1636.99,193746.0,
2029,Interior,Medical Specialists,983.26,193746.0,
2029,Interior,Other Practitioners,1851.36,193746.0,
2029,Northern,General Practitioners,379.62,133892.0,
2029,Northern,Medical Specialists,176.74,133892.0,
2029,Northern,Other Practitioners,241.46,133892.0,
2029,Vancouver Coastal,General Practitioners,1692.75,70432.0,
2029,Vancouver Coastal,Medical Specialists,2245.98,70432.0,
2029,Vancouver Coastal,Other Practitioners,2270.46,70432.0,
2029,Vancouver Island,General Practitioners,1713.44,155794.0,
2029,Vancouver Island,Medical Specialists,1149.75,155794.0,
2029,Vancouver Island,Other Practitioners,1988.11,155794.0,
2030,Fraser,General Practitioners,2205.25,176548.0,
2030,Fraser,Medical Specialists,1543.33,176548.0,
2030,Fraser,Other Practitioners,2701.68,176548.0,
2030,Interior,General Practitioners,1685.54,199492.0,
2030,Interior,Medical Specialists,1012.42,199492.0,
2030,Interior,Other Practitioners,1906.26,199492.0,
2030,Northern,General Practitioners,384.59,135646.0,
2030,Northern,Medical Specialists,179.06,135646.0,
2030,Northern,Other Practitioners,244.63,135646.0,
2030,Vancouver Coastal,General Practitioners,1684.72,70098.0,
2030,Vancouver Coastal,Medical Specialists,2235.33,70098.0,
2030,Vancouver Coastal,Other Practitioners,2259.69,70098.0,
2030,Vancouver Island,General Practitioners,1742.46,158432.0,
2030,Vancouver Island,Medical Specialists,1169.22,158432.0,
2030,Vancouver Island,Other Practitioners,2021.77,158432.0,
2031,Fraser,General Practitioners,2268.35,181600.0,
2031,Fraser,Medical Specialists,1587.5,181600.0,
2031,Fraser,Other Practitioners,2778.99,181600.0,
2031,Interior,General Practitioners,1733.78,205202.0,
2031,Interior,Medical Specialists,1041.4,205202.0,
2031,Interior,Other Practitioners,1960.83,205202.0,
2031,Northern,General Practitioners,389.33,137318.0,
2031,Northern,Medical Specialists,181.26,137318.0,
2031,Northern,Other Practitioners,247.64,137318.0,
2031,Vancouver Coastal,General Practitioners,1676.02,69736.0,
2031,Vancouver Coastal,Medical Specialists,2223.79,69736.0,
2031,Vancouver Coastal,Other Practitioners,2248.02,69736.0,
2031,Vancouver Island,General Practitioners,1771.12,161038.0,
2031,Vancouver Island,Medical Specialists,1188.45,161038.0,
2031,Vancouver Island,Other Practitioners,2055.02,161038.0,
2032,Fraser,General Practitioners,2333.58,186822.0,
2032,Fraser,Medical Specialists,1633.15,186822.0,
2032,Fraser,Other Practitioners,2858.9,186822.0,
2032,Interior,General Practitioners,1782.45,210962.0,
2032,Interior,Medical Specialists,1070.63,210962.0,
2032,Interior,Other Practitioners,2015.87,210962.0,
2032,Northern,General Practitioners,393.67,138848.0,
2032,Northern,Medical Specialists,183.28,138848.0,
2032,Northern,Other Practitioners,250.4,138848.0,
2032,Vancouver Coastal,General Practitioners,1666.41,69336.0,
2032,Vancouver Coastal,Medical Specialists,2211.03,69336.0,
2032,Vancouver Coastal,Other Practitioners,2235.13,69336.0,
2032,Vancouver Island,General Practitioners,1799.25,163596.0,
2032,Vancouver Island,Medical Specialists,1207.33,163596.0,
2032,Vancouver Island,Other Practitioners,2087.67,163596.0,
2033,Fraser,General Practitioners,2400.05,192144.0,
2033,Fraser,Medical Specialists,1679.67,192144.0,
2033,Fraser,Other Practitioners,2940.34,192144.0,
2033,Interior,General Practitioners,1831.96,216822.0,
2033,Interior,Medical Specialists,1100.37,216822.0,
2033,Interior,Other Practitioners,2071.86,216822.0,
2033,Northern,General Practitioners,397.97,140366.0,
2033,Northern,Medical Specialists,185.29,140366.0,
2033,Northern,Other Practitioners,253.14,140366.0,
2033,Vancouver Coastal,General Practitioners,1652.71,68766.0,
2033,Vancouver Coastal,Medical Specialists,2192.85,68766.0,
2033,Vancouver Coastal,Other Practitioners,2216.75,68766.0,
2033,Vancouver Island,General Practitioners,1826.99,166118.0,
2033,Vancouver Island,Medical Specialists,1225.94,166118.0,
2033,Vancouver Island,Other Practitioners,2119.85,166118.0,
2034,Fraser,General Practitioners,2468.43,197618.0,
2034,Fraser,Medical Specialists,1727.52,197618.0,
2034,Fraser,Other Practitioners,3024.11,197618.0,
2034,Interior,General Practitioners,1881.41,222674.0,
2034,Interior,Medical Specialists,1130.07,222674.0,
2034,Interior,Other Practitioners,2127.78,222674.0,
2034,Northern,General Practitioners,402.01,141788.0,
2034,Northern,Medical Specialists,187.16,141788.0,
2034,Northern,Other Practitioners,255.7,141788.0,
2034,Vancouver Coastal,General Practitioners,1639.58,68220.0,
2034,Vancouver Coastal,Medical Specialists,2175.44,68220.0,
2034,Vancouver Coastal,Other Practitioners,2199.15,68220.0,
2034,Vancouver Island,General Practitioners,1853.41,168520.0,
2034,Vancouver Island,Medical Specialists,1243.66,168520.0,
2034,Vancouver Island,Other Practitioners,2150.5,168520.0,
2035,Fraser,General Practitioners,2539.13,203278.0,
2035,Fraser,Medical Specialists,1777.0,203278.0,
2035,Fraser,Other Practitioners,3110.72,203278.0,
2035,Interior,General Practitioners,1931.22,228570.0,
2035,Interior,Medical Specialists,1159.99,228570.0,
2035,Interior,Other Practitioners,2184.12,228570.0,
2035,Northern,General Practitioners,405.56,143042.0,
2035,Northern,Medical Specialists,188.82,143042.0,
2035,Northern,Other Practitioners,257.96,143042.0,
2035,Vancouver Coastal,General Practitioners,1623.15,67536.0,
2035,Vancouver Coastal,Medical Specialists,2153.63,67536.0,
2035,Vancouver Coastal,Other Practitioners,2177.1,67536.0,
2035,Vancouver Island,General Practitioners,1880.07,170944.0,
